scenario_id,condition,final_security_outcome,objective_achieved,blast_radius,latency_ms
ATK-001,AEGIS_NO_DETECTOR,CONTAINED,False,2,0.32
ATK-001,AEGIS_NO_DLP,BLOCKED,False,0,0.04
ATK-001,AEGIS_NO_NETWORK,BLOCKED,False,0,0.02
ATK-001,AEGIS_NO_CAPABILITY,BLOCKED,False,0,0.02
ATK-001,AEGIS_NO_MEMORY,BLOCKED,False,0,0.02
ATK-002,AEGIS_NO_DETECTOR,CONTAINED,False,2,0.10
ATK-002,AEGIS_NO_DLP,CONTAINED,False,2,0.11
ATK-002,AEGIS_NO_NETWORK,CONTAINED,False,2,0.10
ATK-002,AEGIS_NO_CAPABILITY,EXECUTED,True,4,0.10
ATK-002,AEGIS_NO_MEMORY,CONTAINED,False,2,0.10
ATK-003,AEGIS_NO_DETECTOR,CONTAINED,False,2,0.10
ATK-003,AEGIS_NO_DLP,BLOCKED,False,0,0.02
ATK-003,AEGIS_NO_NETWORK,BLOCKED,False,0,0.02
ATK-003,AEGIS_NO_CAPABILITY,BLOCKED,False,0,0.02
ATK-003,AEGIS_NO_MEMORY,BLOCKED,False,0,0.04
ATK-004,AEGIS_NO_DETECTOR,CONTAINED,False,2,0.31
ATK-004,AEGIS_NO_DLP,CONTAINED,False,2,0.29
ATK-004,AEGIS_NO_NETWORK,CONTAINED,False,2,0.28
ATK-004,AEGIS_NO_CAPABILITY,EXECUTED,True,4,0.21
ATK-004,AEGIS_NO_MEMORY,CONTAINED,False,2,0.26
ATK-005,AEGIS_NO_DETECTOR,CONTAINED,False,2,0.17
ATK-005,AEGIS_NO_DLP,CONTAINED,False,2,0.14
ATK-005,AEGIS_NO_NETWORK,CONTAINED,False,2,0.13
ATK-005,AEGIS_NO_CAPABILITY,EXECUTED,True,4,0.14
ATK-005,AEGIS_NO_MEMORY,CONTAINED,False,2,0.17
ATK-006,AEGIS_NO_DETECTOR,CONTAINED,False,2,0.30
ATK-006,AEGIS_NO_DLP,CONTAINED,False,2,0.26
ATK-006,AEGIS_NO_NETWORK,CONTAINED,False,2,0.24
ATK-006,AEGIS_NO_CAPABILITY,PARTIALLY_CONTAINED,False,3,0.24
ATK-006,AEGIS_NO_MEMORY,CONTAINED,False,2,0.27
ATK-007,AEGIS_NO_DETECTOR,CONTAINED,False,2,0.30
ATK-007,AEGIS_NO_DLP,CONTAINED,False,2,0.31
ATK-007,AEGIS_NO_NETWORK,CONTAINED,False,2,0.34
ATK-007,AEGIS_NO_CAPABILITY,PARTIALLY_CONTAINED,False,3,0.34
ATK-007,AEGIS_NO_MEMORY,CONTAINED,False,2,0.31
ATK-008,AEGIS_NO_DETECTOR,CONTAINED,False,2,0.28
ATK-008,AEGIS_NO_DLP,CONTAINED,False,2,0.29
ATK-008,AEGIS_NO_NETWORK,CONTAINED,False,2,0.28
ATK-008,AEGIS_NO_CAPABILITY,PARTIALLY_CONTAINED,False,3,0.26
ATK-008,AEGIS_NO_MEMORY,CONTAINED,False,2,0.25
ATK-009,AEGIS_NO_DETECTOR,CONTAINED,False,2,0.22
ATK-009,AEGIS_NO_DLP,CONTAINED,False,2,0.24
ATK-009,AEGIS_NO_NETWORK,CONTAINED,False,2,0.22
ATK-009,AEGIS_NO_CAPABILITY,EXECUTED,True,4,0.21
ATK-009,AEGIS_NO_MEMORY,CONTAINED,False,2,0.26
ATK-010,AEGIS_NO_DETECTOR,CONTAINED,False,2,0.26
ATK-010,AEGIS_NO_DLP,CONTAINED,False,2,0.21
ATK-010,AEGIS_NO_NETWORK,CONTAINED,False,2,0.21
ATK-010,AEGIS_NO_CAPABILITY,PARTIALLY_CONTAINED,False,3,0.17
ATK-010,AEGIS_NO_MEMORY,CONTAINED,False,2,0.21
ATK-011,AEGIS_NO_DETECTOR,CONTAINED,False,2,0.10
ATK-011,AEGIS_NO_DLP,CONTAINED,False,2,0.09
ATK-011,AEGIS_NO_NETWORK,CONTAINED,False,2,0.09
ATK-011,AEGIS_NO_CAPABILITY,EXECUTED,True,4,0.09
ATK-011,AEGIS_NO_MEMORY,CONTAINED,False,2,0.09
ATK-012,AEGIS_NO_DETECTOR,CONTAINED,False,2,0.33
ATK-012,AEGIS_NO_DLP,CONTAINED,False,2,0.30
ATK-012,AEGIS_NO_NETWORK,CONTAINED,False,2,0.28
ATK-012,AEGIS_NO_CAPABILITY,PARTIALLY_CONTAINED,False,3,0.17
ATK-012,AEGIS_NO_MEMORY,CONTAINED,False,2,0.27
ATK-013,AEGIS_NO_DETECTOR,CONTAINED,False,2,0.35
ATK-013,AEGIS_NO_DLP,CONTAINED,False,2,0.31
ATK-013,AEGIS_NO_NETWORK,CONTAINED,False,2,0.29
ATK-013,AEGIS_NO_CAPABILITY,EXECUTED,True,4,0.21
ATK-013,AEGIS_NO_MEMORY,CONTAINED,False,2,0.30
ATK-014,AEGIS_NO_DETECTOR,CONTAINED,False,2,0.12
ATK-014,AEGIS_NO_DLP,CONTAINED,False,2,0.10
ATK-014,AEGIS_NO_NETWORK,CONTAINED,False,2,0.10
ATK-014,AEGIS_NO_CAPABILITY,PARTIALLY_CONTAINED,False,3,0.11
ATK-014,AEGIS_NO_MEMORY,CONTAINED,False,2,0.11
ATK-015,AEGIS_NO_DETECTOR,CONTAINED,False,2,0.19
ATK-015,AEGIS_NO_DLP,CONTAINED,False,2,0.17
ATK-015,AEGIS_NO_NETWORK,CONTAINED,False,2,0.18
ATK-015,AEGIS_NO_CAPABILITY,PARTIALLY_CONTAINED,False,3,0.17
ATK-015,AEGIS_NO_MEMORY,CONTAINED,False,2,0.19
ATK-016,AEGIS_NO_DETECTOR,CONTAINED,False,2,0.13
ATK-016,AEGIS_NO_DLP,CONTAINED,False,2,0.31
ATK-016,AEGIS_NO_NETWORK,CONTAINED,False,2,0.17
ATK-016,AEGIS_NO_CAPABILITY,PARTIALLY_CONTAINED,False,3,0.14
ATK-016,AEGIS_NO_MEMORY,CONTAINED,False,2,0.13
ATK-017,AEGIS_NO_DETECTOR,CONTAINED,False,2,0.32
ATK-017,AEGIS_NO_DLP,CONTAINED,False,2,0.28
ATK-017,AEGIS_NO_NETWORK,CONTAINED,False,2,0.26
ATK-017,AEGIS_NO_CAPABILITY,EXECUTED,True,4,0.20
ATK-017,AEGIS_NO_MEMORY,CONTAINED,False,2,0.26
ATK-018,AEGIS_NO_DETECTOR,CONTAINED,False,2,0.25
ATK-018,AEGIS_NO_DLP,CONTAINED,False,2,1.85
ATK-018,AEGIS_NO_NETWORK,CONTAINED,False,2,0.29
ATK-018,AEGIS_NO_CAPABILITY,EXECUTED,True,4,0.21
ATK-018,AEGIS_NO_MEMORY,CONTAINED,False,2,0.27
ATK-019,AEGIS_NO_DETECTOR,CONTAINED,False,2,0.20
ATK-019,AEGIS_NO_DLP,CONTAINED,False,2,0.17
ATK-019,AEGIS_NO_NETWORK,CONTAINED,False,2,0.14
ATK-019,AEGIS_NO_CAPABILITY,PARTIALLY_CONTAINED,False,3,0.18
ATK-019,AEGIS_NO_MEMORY,CONTAINED,False,2,0.17
ATK-020,AEGIS_NO_DETECTOR,CONTAINED,False,2,0.30
ATK-020,AEGIS_NO_DLP,CONTAINED,False,2,0.27
ATK-020,AEGIS_NO_NETWORK,CONTAINED,False,2,0.27
ATK-020,AEGIS_NO_CAPABILITY,EXECUTED,True,4,0.19
ATK-020,AEGIS_NO_MEMORY,CONTAINED,False,2,0.27
ATK-021,AEGIS_NO_DETECTOR,CONTAINED,False,2,0.09
ATK-021,AEGIS_NO_DLP,CONTAINED,False,2,0.08
ATK-021,AEGIS_NO_NETWORK,CONTAINED,False,2,0.08
ATK-021,AEGIS_NO_CAPABILITY,EXECUTED,True,4,0.09
ATK-021,AEGIS_NO_MEMORY,CONTAINED,False,2,0.08
ATK-022,AEGIS_NO_DETECTOR,CONTAINED,False,2,0.14
ATK-022,AEGIS_NO_DLP,CONTAINED,False,2,0.14
ATK-022,AEGIS_NO_NETWORK,CONTAINED,False,2,0.14
ATK-022,AEGIS_NO_CAPABILITY,PARTIALLY_CONTAINED,False,3,0.14
ATK-022,AEGIS_NO_MEMORY,CONTAINED,False,2,0.14
ATK-023,AEGIS_NO_DETECTOR,CONTAINED,False,2,0.10
ATK-023,AEGIS_NO_DLP,CONTAINED,False,2,0.09
ATK-023,AEGIS_NO_NETWORK,CONTAINED,False,2,0.09
ATK-023,AEGIS_NO_CAPABILITY,EXECUTED,True,4,0.09
ATK-023,AEGIS_NO_MEMORY,CONTAINED,False,2,0.09
ATK-024,AEGIS_NO_DETECTOR,CONTAINED,False,2,0.13
ATK-024,AEGIS_NO_DLP,CONTAINED,False,2,0.11
ATK-024,AEGIS_NO_NETWORK,CONTAINED,False,2,0.10
ATK-024,AEGIS_NO_CAPABILITY,EXECUTED,True,4,0.10
ATK-024,AEGIS_NO_MEMORY,CONTAINED,False,2,0.10
ATK-025,AEGIS_NO_DETECTOR,CONTAINED,False,2,0.15
ATK-025,AEGIS_NO_DLP,CONTAINED,False,2,0.15
ATK-025,AEGIS_NO_NETWORK,CONTAINED,False,2,0.14
ATK-025,AEGIS_NO_CAPABILITY,PARTIALLY_CONTAINED,False,3,0.14
ATK-025,AEGIS_NO_MEMORY,CONTAINED,False,2,0.32
ATK-026,AEGIS_NO_DETECTOR,CONTAINED,False,2,0.12
ATK-026,AEGIS_NO_DLP,CONTAINED,False,2,0.12
ATK-026,AEGIS_NO_NETWORK,CONTAINED,False,2,0.11
ATK-026,AEGIS_NO_CAPABILITY,PARTIALLY_CONTAINED,False,3,0.13
ATK-026,AEGIS_NO_MEMORY,CONTAINED,False,2,0.12
ATK-027,AEGIS_NO_DETECTOR,CONTAINED,False,2,0.18
ATK-027,AEGIS_NO_DLP,CONTAINED,False,2,0.17
ATK-027,AEGIS_NO_NETWORK,CONTAINED,False,2,0.17
ATK-027,AEGIS_NO_CAPABILITY,PARTIALLY_CONTAINED,False,3,0.16
ATK-027,AEGIS_NO_MEMORY,CONTAINED,False,2,0.17
ATK-028,AEGIS_NO_DETECTOR,CONTAINED,False,2,0.13
ATK-028,AEGIS_NO_DLP,CONTAINED,False,2,0.12
ATK-028,AEGIS_NO_NETWORK,EXECUTED,True,4,0.12
ATK-028,AEGIS_NO_CAPABILITY,CONTAINED,False,2,0.11
ATK-028,AEGIS_NO_MEMORY,CONTAINED,False,2,0.13
ATK-029,AEGIS_NO_DETECTOR,CONTAINED,False,2,0.11
ATK-029,AEGIS_NO_DLP,CONTAINED,False,2,0.11
ATK-029,AEGIS_NO_NETWORK,CONTAINED,False,2,0.11
ATK-029,AEGIS_NO_CAPABILITY,PARTIALLY_CONTAINED,False,3,0.11
ATK-029,AEGIS_NO_MEMORY,CONTAINED,False,2,0.11
ATK-030,AEGIS_NO_DETECTOR,CONTAINED,False,2,0.12
ATK-030,AEGIS_NO_DLP,CONTAINED,False,2,0.12
ATK-030,AEGIS_NO_NETWORK,CONTAINED,False,2,0.12
ATK-030,AEGIS_NO_CAPABILITY,PARTIALLY_CONTAINED,False,3,0.12
ATK-030,AEGIS_NO_MEMORY,CONTAINED,False,2,0.12
