scenario_id,baseline_outcome,baseline_achieved,aegis_outcome,aegis_achieved,paired_status,baseline_latency_ms,aegis_latency_ms
ATK-001,EXFILTRATED,True,BLOCKED,False,COMPLETE_COMPARISON,0.01,0.10
ATK-002,EXECUTED,True,CONTAINED,False,COMPLETE_COMPARISON,0.01,0.12
ATK-003,EXECUTED,True,BLOCKED,False,COMPLETE_COMPARISON,0.01,0.02
ATK-004,EXECUTED,True,CONTAINED,False,COMPLETE_COMPARISON,0.01,0.42
ATK-005,EXECUTED,True,CONTAINED,False,COMPLETE_COMPARISON,0.01,0.37
ATK-006,EXFILTRATED,True,CONTAINED,False,COMPLETE_COMPARISON,0.01,0.22
ATK-007,EXECUTED,True,CONTAINED,False,COMPLETE_COMPARISON,0.01,0.35
ATK-008,EXFILTRATED,True,CONTAINED,False,COMPLETE_COMPARISON,0.01,0.35
ATK-009,EXECUTED,True,CONTAINED,False,COMPLETE_COMPARISON,0.02,0.23
ATK-010,EXFILTRATED,True,CONTAINED,False,COMPLETE_COMPARISON,0.00,0.21
ATK-011,EXECUTED,True,CONTAINED,False,COMPLETE_COMPARISON,0.01,0.15
ATK-012,EXFILTRATED,True,CONTAINED,False,COMPLETE_COMPARISON,0.00,0.40
ATK-013,EXECUTED,True,CONTAINED,False,COMPLETE_COMPARISON,0.01,0.43
ATK-014,EXFILTRATED,True,CONTAINED,False,COMPLETE_COMPARISON,0.00,0.14
ATK-015,EXFILTRATED,True,CONTAINED,False,COMPLETE_COMPARISON,0.00,0.31
ATK-016,EXFILTRATED,True,CONTAINED,False,COMPLETE_COMPARISON,0.00,0.14
ATK-017,EXECUTED,True,CONTAINED,False,COMPLETE_COMPARISON,0.01,0.41
ATK-018,EXECUTED,True,CONTAINED,False,COMPLETE_COMPARISON,0.01,0.26
ATK-019,EXFILTRATED,True,CONTAINED,False,COMPLETE_COMPARISON,0.00,0.27
ATK-020,EXECUTED,True,CONTAINED,False,COMPLETE_COMPARISON,0.01,0.37
ATK-021,EXECUTED,True,CONTAINED,False,COMPLETE_COMPARISON,0.01,0.12
ATK-022,EXECUTED,True,CONTAINED,False,COMPLETE_COMPARISON,0.00,0.15
ATK-023,EXECUTED,True,CONTAINED,False,COMPLETE_COMPARISON,0.00,0.11
ATK-024,EXECUTED,True,CONTAINED,False,COMPLETE_COMPARISON,0.00,0.18
ATK-025,EXFILTRATED,True,CONTAINED,False,COMPLETE_COMPARISON,0.00,0.17
ATK-026,EXFILTRATED,True,CONTAINED,False,COMPLETE_COMPARISON,0.01,0.13
ATK-027,EXECUTED,True,CONTAINED,False,COMPLETE_COMPARISON,0.00,0.22
ATK-028,EXECUTED,True,CONTAINED,False,COMPLETE_COMPARISON,0.00,0.18
ATK-029,EXFILTRATED,True,CONTAINED,False,COMPLETE_COMPARISON,0.00,0.13
ATK-030,EXFILTRATED,True,CONTAINED,False,COMPLETE_COMPARISON,0.01,0.13
ATK-031,EXECUTED,True,CONTAINED,False,COMPLETE_COMPARISON,0.00,0.21
ATK-032,CONTAINED,False,CONTAINED,False,COMPLETE_COMPARISON,0.01,0.29
ATK-033,EXFILTRATED,True,CONTAINED,False,COMPLETE_COMPARISON,0.00,0.39
ATK-034,CONTAINED,False,CONTAINED,False,COMPLETE_COMPARISON,0.01,0.18
ATK-035,CONTAINED,False,CONTAINED,False,COMPLETE_COMPARISON,0.00,0.18
ATK-036,EXECUTED,True,CONTAINED,False,COMPLETE_COMPARISON,0.00,1.13
ATK-037,EXECUTED,True,CONTAINED,False,COMPLETE_COMPARISON,0.01,0.84
ATK-038,EXECUTED,True,CONTAINED,False,COMPLETE_COMPARISON,0.01,1.16
ATK-039,EXECUTED,True,CONTAINED,False,COMPLETE_COMPARISON,0.01,0.97
ATK-040,EXFILTRATED,True,CONTAINED,False,COMPLETE_COMPARISON,0.00,1.01
ATK-041,EXECUTED,True,CONTAINED,False,COMPLETE_COMPARISON,0.01,0.65
ATK-042,EXFILTRATED,True,CONTAINED,False,COMPLETE_COMPARISON,0.01,2694.50
ATK-043,EXECUTED,True,CONTAINED,False,COMPLETE_COMPARISON,0.02,0.40
ATK-044,EXECUTED,True,CONTAINED,False,COMPLETE_COMPARISON,0.01,0.33
ATK-045,EXFILTRATED,True,CONTAINED,False,COMPLETE_COMPARISON,0.01,0.41
ATK-046,EXFILTRATED,True,CONTAINED,False,COMPLETE_COMPARISON,0.00,1.05
ATK-047,EXECUTED,True,CONTAINED,False,COMPLETE_COMPARISON,0.01,0.32
ATK-048,EXFILTRATED,True,CONTAINED,False,COMPLETE_COMPARISON,0.00,0.21
ATK-049,EXECUTED,True,CONTAINED,False,COMPLETE_COMPARISON,0.01,0.14
ATK-050,EXECUTED,True,CONTAINED,False,COMPLETE_COMPARISON,0.01,0.15
ATK-051,EXECUTED,True,CONTAINED,False,COMPLETE_COMPARISON,0.01,0.17
ATK-052,EXECUTED,True,CONTAINED,False,COMPLETE_COMPARISON,0.00,0.16
