category,component,status,execution_mode,model_name,tokenizer_name,device,seq_len,batch_size,warmup_runs,sample_count,cold_start_ms,mean_ms,median_ms,p50_ms,p95_ms,p99_ms,min_ms,max_ms
HEURISTIC_ONLY,Rule-Based Regex Heuristics,AVAILABLE,REAL_HEURISTIC,N/A,N/A,cpu,N/A,N/A,5,50,0.0643,0.0159,0.0157,0.0157,0.0167,0.0221,0.0151,0.0236
DETERMINISTIC_MIDDLEWARE,Full Deterministic Security Middleware,AVAILABLE,REAL_DETERMINISTIC,N/A,N/A,cpu,N/A,N/A,5,50,0.2180,0.1166,0.1163,0.1163,0.1206,0.1217,0.1131,0.1222
DETERMINISTIC_SUBCOMPONENT: Sanitizer,Sanitizer,AVAILABLE,REAL,N/A,N/A,cpu,N/A,N/A,5,50,0.0011,0.0005,0.0005,0.0005,0.0005,0.0006,0.0004,0.0006
DETERMINISTIC_SUBCOMPONENT: DLP,DLP,AVAILABLE,REAL,N/A,N/A,cpu,N/A,N/A,5,50,0.0971,0.0911,0.0852,0.0852,0.0938,0.2211,0.0829,0.3387
DETERMINISTIC_SUBCOMPONENT: Network,Network,AVAILABLE,REAL,N/A,N/A,cpu,N/A,N/A,5,50,0.0177,0.0030,0.0030,0.0030,0.0032,0.0034,0.0029,0.0035
DETERMINISTIC_SUBCOMPONENT: Action Graph,Action Graph,AVAILABLE,REAL,N/A,N/A,cpu,N/A,N/A,5,50,0.0341,0.0056,0.0055,0.0055,0.0068,0.0086,0.0047,0.0087
DETERMINISTIC_SUBCOMPONENT: Capability Registry,Capability Registry,AVAILABLE,REAL,N/A,N/A,cpu,N/A,N/A,5,50,0.0144,0.0046,0.0046,0.0046,0.0048,0.0049,0.0044,0.0049
DETERMINISTIC_SUBCOMPONENT: Policy Gate,Policy Gate,AVAILABLE,REAL,N/A,N/A,cpu,N/A,N/A,5,50,0.0059,0.0047,0.0046,0.0046,0.0049,0.0057,0.0044,0.0063
REAL_NEURAL_DETECTOR,DeBERTa Neural Prompt Injection Classifier,AVAILABLE,REAL_NEURAL_INFERENCE,protectai/deberta-v3-base-prompt-injection-v2,DebertaV2Tokenizer,cpu,9,1,2,10,48.4276,53.2851,53.7816,53.7816,58.1729,59.1127,48.3309,59.3477
FULL_AEGIS_WITH_NEURAL,Deterministic Controls + DeBERTa Detector,AVAILABLE,FULL_SECURITY_MIDDLEWARE,protectai/deberta-v3-base-prompt-injection-v2,DebertaV2Tokenizer,cpu,9,1,2,10,49.2231,54.2712,52.2189,52.2189,62.2218,64.9888,49.8459,65.6805
END_TO_END,Full Security Middleware + Agent Reasoning,AVAILABLE,FULL_STACK_E2E,protectai/deberta-v3-base-prompt-injection-v2,DebertaV2Tokenizer,cpu,9,1,2,10,66.1897,71.5551,72.2569,72.2569,78.2377,79.1535,64.2037,79.3824
