scenario_id,condition,final_security_outcome,objective_achieved,blast_radius,latency_ms
ATK-001,AEGIS_NO_DETECTOR,CONTAINED,False,2,0.90
ATK-001,AEGIS_NO_DLP,BLOCKED,False,0,0.04
ATK-001,AEGIS_NO_NETWORK,BLOCKED,False,0,0.03
ATK-001,AEGIS_NO_CAPABILITY,BLOCKED,False,0,0.05
ATK-001,AEGIS_NO_MEMORY,BLOCKED,False,0,0.03
ATK-002,AEGIS_NO_DETECTOR,CONTAINED,False,2,0.62
ATK-002,AEGIS_NO_DLP,CONTAINED,False,2,0.95
ATK-002,AEGIS_NO_NETWORK,CONTAINED,False,2,0.63
ATK-002,AEGIS_NO_CAPABILITY,EXECUTED,True,4,0.52
ATK-002,AEGIS_NO_MEMORY,CONTAINED,False,2,0.52
ATK-003,AEGIS_NO_DETECTOR,CONTAINED,False,2,0.54
ATK-003,AEGIS_NO_DLP,BLOCKED,False,0,0.05
ATK-003,AEGIS_NO_NETWORK,BLOCKED,False,0,0.04
ATK-003,AEGIS_NO_CAPABILITY,BLOCKED,False,0,0.03
ATK-003,AEGIS_NO_MEMORY,BLOCKED,False,0,0.03
ATK-004,AEGIS_NO_DETECTOR,CONTAINED,False,2,0.55
ATK-004,AEGIS_NO_DLP,CONTAINED,False,2,0.75
ATK-004,AEGIS_NO_NETWORK,CONTAINED,False,2,0.58
ATK-004,AEGIS_NO_CAPABILITY,EXECUTED,True,4,0.58
ATK-004,AEGIS_NO_MEMORY,CONTAINED,False,2,0.53
ATK-005,AEGIS_NO_DETECTOR,CONTAINED,False,2,0.78
ATK-005,AEGIS_NO_DLP,CONTAINED,False,2,1.03
ATK-005,AEGIS_NO_NETWORK,CONTAINED,False,2,0.85
ATK-005,AEGIS_NO_CAPABILITY,EXECUTED,True,4,0.92
ATK-005,AEGIS_NO_MEMORY,CONTAINED,False,2,0.76
ATK-006,AEGIS_NO_DETECTOR,CONTAINED,False,2,1.88
ATK-006,AEGIS_NO_DLP,CONTAINED,False,2,1.84
ATK-006,AEGIS_NO_NETWORK,CONTAINED,False,2,1.51
ATK-006,AEGIS_NO_CAPABILITY,PARTIALLY_CONTAINED,False,3,1.62
ATK-006,AEGIS_NO_MEMORY,CONTAINED,False,2,1.39
ATK-007,AEGIS_NO_DETECTOR,CONTAINED,False,2,1.01
ATK-007,AEGIS_NO_DLP,CONTAINED,False,2,1.01
ATK-007,AEGIS_NO_NETWORK,CONTAINED,False,2,1.17
ATK-007,AEGIS_NO_CAPABILITY,PARTIALLY_CONTAINED,False,3,1.34
ATK-007,AEGIS_NO_MEMORY,CONTAINED,False,2,1.72
ATK-008,AEGIS_NO_DETECTOR,CONTAINED,False,2,0.69
ATK-008,AEGIS_NO_DLP,CONTAINED,False,2,0.78
ATK-008,AEGIS_NO_NETWORK,CONTAINED,False,2,0.63
ATK-008,AEGIS_NO_CAPABILITY,PARTIALLY_CONTAINED,False,3,0.78
ATK-008,AEGIS_NO_MEMORY,CONTAINED,False,2,0.67
ATK-009,AEGIS_NO_DETECTOR,CONTAINED,False,2,0.60
ATK-009,AEGIS_NO_DLP,CONTAINED,False,2,0.64
ATK-009,AEGIS_NO_NETWORK,CONTAINED,False,2,0.57
ATK-009,AEGIS_NO_CAPABILITY,EXECUTED,True,4,0.53
ATK-009,AEGIS_NO_MEMORY,CONTAINED,False,2,0.54
ATK-010,AEGIS_NO_DETECTOR,CONTAINED,False,2,1.52
