scenario_id,baseline_outcome,baseline_achieved,aegis_outcome,aegis_achieved,paired_status,baseline_latency_ms,aegis_latency_ms
ATK-001,EXFILTRATED,True,BLOCKED,False,COMPLETE_COMPARISON,0.02,0.13
ATK-002,EXECUTED,True,CONTAINED,False,COMPLETE_COMPARISON,0.02,0.51
ATK-003,EXECUTED,True,BLOCKED,False,COMPLETE_COMPARISON,0.01,0.07
ATK-004,EXECUTED,True,CONTAINED,False,COMPLETE_COMPARISON,0.03,0.55
ATK-005,EXECUTED,True,CONTAINED,False,COMPLETE_COMPARISON,0.01,0.70
ATK-006,EXFILTRATED,True,CONTAINED,False,COMPLETE_COMPARISON,0.02,2.17
ATK-007,EXECUTED,True,CONTAINED,False,COMPLETE_COMPARISON,0.01,1.18
ATK-008,EXFILTRATED,True,CONTAINED,False,COMPLETE_COMPARISON,0.01,0.75
ATK-009,EXECUTED,True,CONTAINED,False,COMPLETE_COMPARISON,0.02,1.50
ATK-010,EXFILTRATED,True,CONTAINED,False,COMPLETE_COMPARISON,0.01,0.58
ATK-011,EXECUTED,True,CONTAINED,False,COMPLETE_COMPARISON,0.03,0.39
ATK-012,EXFILTRATED,True,CONTAINED,False,COMPLETE_COMPARISON,0.01,1.11
ATK-013,EXECUTED,True,CONTAINED,False,COMPLETE_COMPARISON,0.02,0.58
ATK-014,EXFILTRATED,True,CONTAINED,False,COMPLETE_COMPARISON,0.01,0.81
ATK-015,EXFILTRATED,True,CONTAINED,False,COMPLETE_COMPARISON,0.01,2.23
ATK-016,EXFILTRATED,True,CONTAINED,False,COMPLETE_COMPARISON,0.01,0.92
ATK-017,EXECUTED,True,CONTAINED,False,COMPLETE_COMPARISON,0.04,0.90
ATK-018,EXECUTED,True,CONTAINED,False,COMPLETE_COMPARISON,0.02,0.44
ATK-019,EXFILTRATED,True,CONTAINED,False,COMPLETE_COMPARISON,0.01,0.71
ATK-020,EXECUTED,True,CONTAINED,False,COMPLETE_COMPARISON,0.02,0.44
ATK-021,EXECUTED,True,CONTAINED,False,COMPLETE_COMPARISON,0.02,0.47
ATK-022,EXECUTED,True,CONTAINED,False,COMPLETE_COMPARISON,0.01,0.88
ATK-023,EXECUTED,True,CONTAINED,False,COMPLETE_COMPARISON,0.01,0.94
ATK-024,EXECUTED,True,EXECUTED,True,COMPLETE_COMPARISON,0.03,0.25
ATK-025,EXFILTRATED,True,CONTAINED,False,COMPLETE_COMPARISON,0.01,1.04
ATK-026,EXFILTRATED,True,CONTAINED,False,COMPLETE_COMPARISON,0.02,0.71
ATK-027,EXECUTED,True,CONTAINED,False,COMPLETE_COMPARISON,0.02,1.83
ATK-028,EXECUTED,True,CONTAINED,False,COMPLETE_COMPARISON,0.01,0.82
ATK-029,EXFILTRATED,True,CONTAINED,False,COMPLETE_COMPARISON,0.01,0.67
ATK-030,EXFILTRATED,True,CONTAINED,False,COMPLETE_COMPARISON,0.02,1.22
ATK-031,EXECUTED,True,CONTAINED,False,COMPLETE_COMPARISON,0.01,0.86
ATK-032,CONTAINED,False,CONTAINED,False,COMPLETE_COMPARISON,0.01,1.18
ATK-033,EXFILTRATED,True,CONTAINED,False,COMPLETE_COMPARISON,0.01,1.07
ATK-034,CONTAINED,False,CONTAINED,False,COMPLETE_COMPARISON,0.02,0.78
ATK-035,CONTAINED,False,CONTAINED,False,COMPLETE_COMPARISON,0.02,0.81
ATK-036,EXECUTED,True,EXECUTED,True,COMPLETE_COMPARISON,0.01,0.75
ATK-037,EXECUTED,True,CONTAINED,False,COMPLETE_COMPARISON,0.02,0.84
ATK-038,EXECUTED,True,CONTAINED,False,COMPLETE_COMPARISON,0.01,0.45
ATK-039,EXECUTED,True,EXECUTED,True,COMPLETE_COMPARISON,0.02,1.08
ATK-040,EXFILTRATED,True,CONTAINED,False,COMPLETE_COMPARISON,0.01,1.06
ATK-041,EXECUTED,True,EXECUTED,True,COMPLETE_COMPARISON,0.03,2.15
ATK-042,EXFILTRATED,True,CONTAINED,False,COMPLETE_COMPARISON,0.01,4989.92
ATK-043,EXECUTED,True,CONTAINED,False,COMPLETE_COMPARISON,0.02,0.63
ATK-044,EXECUTED,True,EXECUTED,True,COMPLETE_COMPARISON,0.01,0.62
ATK-045,EXFILTRATED,True,CONTAINED,False,COMPLETE_COMPARISON,0.01,0.37
ATK-046,EXFILTRATED,True,CONTAINED,False,COMPLETE_COMPARISON,0.01,1.23
ATK-047,EXECUTED,True,CONTAINED,False,COMPLETE_COMPARISON,0.02,1.91
ATK-048,EXFILTRATED,True,CONTAINED,False,COMPLETE_COMPARISON,0.01,0.92
ATK-049,EXECUTED,True,CONTAINED,False,COMPLETE_COMPARISON,0.02,1.43
ATK-050,EXECUTED,True,CONTAINED,False,COMPLETE_COMPARISON,0.02,0.85
ATK-051,EXECUTED,True,CONTAINED,False,COMPLETE_COMPARISON,0.02,0.89
ATK-052,EXECUTED,True,CONTAINED,False,COMPLETE_COMPARISON,0.01,0.67
