scenario_id,benign_outcome,task_successful,attempt_validity,latency_ms
BNG-001,NO_INTERVENTION,True,VALID,0.07
BNG-002,NO_INTERVENTION,True,VALID,0.04
BNG-003,NO_INTERVENTION,True,VALID,0.03
BNG-004,NO_INTERVENTION,True,VALID,0.03
BNG-005,NO_INTERVENTION,True,VALID,0.02
BNG-006,NO_INTERVENTION,True,VALID,0.03
BNG-007,NO_INTERVENTION,True,VALID,0.02
BNG-008,NO_INTERVENTION,True,VALID,0.02
BNG-009,NO_INTERVENTION,True,VALID,0.02
BNG-010,NO_INTERVENTION,True,VALID,0.02
BNG-011,NO_INTERVENTION,True,VALID,0.02
BNG-012,NO_INTERVENTION,True,VALID,0.03
BNG-013,NO_INTERVENTION,True,VALID,0.04
BNG-014,NO_INTERVENTION,True,VALID,0.03
BNG-015,NO_INTERVENTION,True,VALID,0.03
BNG-016,NO_INTERVENTION,True,VALID,0.02
BNG-017,NO_INTERVENTION,True,VALID,0.03
BNG-018,NO_INTERVENTION,True,VALID,0.02
BNG-019,NO_INTERVENTION,True,VALID,0.03
BNG-020,NO_INTERVENTION,True,VALID,0.03
BNG-021,NO_INTERVENTION,True,VALID,0.02
BNG-022,NO_INTERVENTION,True,VALID,0.03
BNG-023,NO_INTERVENTION,True,VALID,0.02
BNG-024,NO_INTERVENTION,True,VALID,0.03
BNG-025,NO_INTERVENTION,True,VALID,0.06
BNG-026,NO_INTERVENTION,True,VALID,0.03
