component,execution_mode,cold_start_ms,sample_count,mean_ms,median_ms,p50_ms,p95_ms,p99_ms,min_ms,max_ms
Detector,REAL_HEURISTIC,0.0110,50,0.0019,0.0019,0.0019,0.0023,0.0026,0.0017,0.0027
Sanitizer,REAL,0.0074,50,0.0014,0.0014,0.0014,0.0015,0.0016,0.0013,0.0016
Provenance,REAL,0.0026,50,0.0004,0.0004,0.0004,0.0005,0.0005,0.0003,0.0005
DLP,REAL,0.5490,50,0.5178,0.4868,0.4868,0.7213,1.6912,0.3080,2.1326
Network,REAL,0.0621,50,0.0131,0.0119,0.0119,0.0139,0.0705,0.0073,0.1133
Action Graph,REAL,0.1361,50,0.0235,0.0200,0.0200,0.0376,0.1192,0.0134,0.1295
Capability Registry,REAL,0.0062,50,0.0013,0.0013,0.0013,0.0015,0.0015,0.0011,0.0015
Policy Gate,REAL,0.0035,50,0.0014,0.0014,0.0014,0.0017,0.0017,0.0011,0.0017
Full Aegis without detector,REAL,0.6783,50,0.6322,0.5848,0.5848,0.9404,1.3472,0.3778,1.3871
Full Aegis with detector,REAL,0.6115,50,0.5936,0.5469,0.5469,0.8679,1.3664,0.3695,1.4145
End-to-end agent,REAL_SIMULATED_REASONING,1.7406,50,2.0775,1.9802,1.9802,2.7232,3.7801,1.5627,4.0304
