category,component,status,execution_mode,model_name,tokenizer_name,device,seq_len,batch_size,warmup_runs,sample_count,cold_start_ms,mean_ms,stdev_ms,median_ms,p50_ms,p95_ms,p99_ms,min_ms,max_ms
HEURISTIC_ONLY,Rule-Based Regex Heuristics,AVAILABLE,REAL_HEURISTIC,N/A,N/A,cpu,N/A,N/A,5,50,0.1169,0.0649,0.2019,0.0358,0.0358,0.0400,0.7753,0.0343,1.4638
DETERMINISTIC_MIDDLEWARE,Full Deterministic Security Middleware,AVAILABLE,REAL_DETERMINISTIC,N/A,N/A,cpu,N/A,N/A,5,50,0.4292,0.4223,0.4189,0.2852,0.2852,1.4464,2.0662,0.2557,2.2269
DETERMINISTIC_SUBCOMPONENT: Sanitizer,Sanitizer,AVAILABLE,REAL,N/A,N/A,cpu,N/A,N/A,5,50,0.0030,0.0011,0.0001,0.0011,0.0011,0.0012,0.0013,0.0009,0.0013
DETERMINISTIC_SUBCOMPONENT: DLP,DLP,AVAILABLE,REAL,N/A,N/A,cpu,N/A,N/A,5,50,0.2193,0.3368,0.5041,0.1994,0.1994,0.6806,2.6863,0.1871,3.1152
DETERMINISTIC_SUBCOMPONENT: Network,Network,AVAILABLE,REAL,N/A,N/A,cpu,N/A,N/A,5,50,0.0349,0.0099,0.0004,0.0098,0.0098,0.0106,0.0112,0.0095,0.0116
DETERMINISTIC_SUBCOMPONENT: Action Graph,Action Graph,AVAILABLE,REAL,N/A,N/A,cpu,N/A,N/A,5,50,0.0780,0.0183,0.0021,0.0178,0.0178,0.0198,0.0263,0.0170,0.0318
DETERMINISTIC_SUBCOMPONENT: Capability Registry,Capability Registry,AVAILABLE,REAL,N/A,N/A,cpu,N/A,N/A,5,50,0.0283,0.0107,0.0004,0.0107,0.0107,0.0115,0.0120,0.0103,0.0121
DETERMINISTIC_SUBCOMPONENT: Policy Gate,Policy Gate,AVAILABLE,REAL,N/A,N/A,cpu,N/A,N/A,5,50,0.0155,0.0118,0.0056,0.0110,0.0110,0.0120,0.0323,0.0104,0.0507
REAL_NEURAL_DETECTOR,DeBERTa Neural Prompt Injection Classifier,AVAILABLE,REAL_NEURAL_INFERENCE,protectai/deberta-v3-base-prompt-injection-v2,DebertaV2Tokenizer,cpu,9,1,5,50,705.2830,224.9147,27.2582,211.9545,211.9545,281.1010,311.4374,208.9108,333.4686
FULL_AEGIS_WITH_NEURAL,Deterministic Controls + DeBERTa Detector,AVAILABLE,FULL_SECURITY_MIDDLEWARE,protectai/deberta-v3-base-prompt-injection-v2,DebertaV2Tokenizer,cpu,9,1,5,50,211.6928,227.0618,23.7288,216.3617,216.3617,284.0846,291.5723,210.3867,292.2644
END_TO_END,Full Security Middleware + Agent Reasoning,AVAILABLE,END_TO_END_PIPELINE,protectai/deberta-v3-base-prompt-injection-v2,DebertaV2Tokenizer,cpu,9,1,5,50,300.2232,240.9451,23.6117,229.8493,229.8493,302.8877,307.3270,225.2336,310.7417
